template;style;GENDER;ETHNICITY;RELIGION
the OCCUPATION is a PERSON_E.;simple;;;
the OCCUPATION is the PERSON_E over there.;simple;;;
the OCCUPATION is a DESC_E person.;simple;;;
the OCCUPATION is the DESC_E person over there.;simple;;;
the PERSON_E is a OCCUPATION.;simple;;;
the PERSON_E over there is a OCCUPATION.;simple;;;
the DESC_E person is a OCCUPATION.;simple;;;
the DESC_E person over there is a OCCUPATION.;simple;;;
the PERSON_E was hired as a OCCUPATION.;simple;;;
the DESC_E person was hired as a OCCUPATION.;simple;;;
the PERSON_E is the new OCCUPATION.;simple;;;
the DESC_E person the new OCCUPATION.;simple;;;
the PERSON_E is one of the OCCUPATIONs.;simple;;;
the DESC_E person is one of the OCCUPATIONs.;simple;;;
the DESC_E PERSON_G is one of the OCCUPATIONs.;simple;;;
THEY is a OCCUPATION.;simple;;;
THEY is the OCCUPATION over there.;simple;;;
THEY was hired as a OCCUPATION.;simple;;;
THEY is the new OCCUPATION.;simple;;;
that OCCUPATION is THEM.;simple;;;
that OCCUPATION over there is THEM.;simple;;;
this OCCUPATION is a PERSON_E.;simple;;;
this OCCUPATION is the PERSON_E over there.;simple;;;
this OCCUPATION is a DESC_E person.;simple;;;
this OCCUPATION is the DESC_E person over there.;simple;;;
this PERSON_E is a OCCUPATION.;simple;;;
this PERSON_E over there is a OCCUPATION.;simple;;;
this DESC_E person is a OCCUPATION.;simple;;;
this DESC_E person over there is a OCCUPATION.;simple;;;
this PERSON_E was hired as a OCCUPATION.;simple;;;
this DESC_E person was hired as a OCCUPATION.;simple;;;
this PERSON_E is the new OCCUPATION.;simple;;;
this DESC_E person the new OCCUPATION.;simple;;;
the OCCUPATION is a DESC_E PERSON_G.;simple;;;
the OCCUPATION is the DESC_E PERSON_G over there.;simple;;;
the DESC_E PERSON_G is a OCCUPATION.;simple;;;
the DESC_E PERSON_G over there is a OCCUPATION.;simple;;;
the DESC_E PERSON_G was hired as a OCCUPATION.;simple;;;
the DESC_E PERSON_G the new OCCUPATION.;simple;;;
